,Date,News,sentiment
348,2023-05-15,"Sisi, Norwegian giant Scatec review progress on $6 bln green hydrogen projects in Egypt ",
349,2023-05-15,In Video: Egypt launches 'Investors' Services Portal' to boost development in new cities,
350,2023-05-15,Egypt launches 1st gold investment fund; certificates start from EGP 10,
351,2023-05-14,"Egypt, Norway sign agreement for new $450 mln green methanol production project",
352,2023-05-14,Egypt’s gold rush shows signs of slowing,
353,2023-05-10,Egyptian Government approves double tax elimination agreement between Egypt and Qatar ,
354,2023-05-09,Egypt's economy can withstand international crises and attract investments: Ministers,
355,2023-05-09,Egypt constructing silicon complex in New Alamein at $172 mln total investments,
356,2023-05-08,Egypt sovereign fund and private sector partner to launch B2B pharma venture,
357,2023-05-08,Apprehension on real estate,
358,2023-05-07,Samsung Electronics Egypt sales reach $1.3 bln,
359,2023-05-04,Universal Healthcare Insurance Agency revenues recorded over EGP 76 bln until end of February 2023: Egypt's finance minister,
360,2023-05-02,UAE National Paints acquires Egypt state-owned PACHIN in $25 mln deal after intense competition,
361,2023-05-01,Saudi electronics retailer eXtra calls off EGP 1 bln expansion plan in Egypt,
362,2023-04-30,Japanese investment in Egypt rises even as trade shrinks: CAPMAS,
363,2023-04-27,Egyptian discount retailer Kazyon attracts $165 mln investment from Int'l consortium ,
364,2023-04-26,Egypt discussing $80 mln pharmaceutical raw materials project with Indian investors,
365,2023-04-19,Egypt's construction sector to average 7.4% growth through 2027: Fitch Solutions,
366,2023-04-19,Mohieldin: There is a need to mobilise finance and investment sources for climate action in Africa ,
367,2023-04-18,"Manchester City to expand Etihad to over 60,000 capacity",
368,2023-04-16,Global electronic manufacturers expanding into Egypt,
369,2023-04-14,Egypt's Supreme Council for Investments Established by Presidential Decree,
370,2023-04-14,Egypt-UAE trade rises 6.5 percent in 11 months,
371,2023-04-13,"In Photos: EU delegation, German embassy, EIB donate Ramadan food boxes through Egypt's Misr El-Kheir",
372,2023-04-09,Egyptian Indian partnership launches $110 mln factory in Ain Sokhna,
373,2023-04-09,Easier access to industrial land,
374,2023-04-06,Owner of Pyramids FC suspend investment in the club due to ‘injustice’,
375,2023-04-05,Egyptian government promotes green transformation with $120 million waste-to-energy plant investment,
376,2023-04-05,Multinational Consortium secures financial close agreement for $650 mln wind farm in Egypt,
377,2023-04-04,"Egypt's government eager to boost British investments in the country, says FM Shoukry",
378,2023-04-01,US VP Harris seeks billions for climate resilience across Africa,
379,2023-03-31,New licences encourage investment in Egypt,
380,2023-03-28,Resolving the gender-gap in the workforce through a more flexible approach,
381,2023-03-28,Egypt’s sovereign fund to transform former interior ministry’s HQ into 3-star hotel and mixed-use destination,
382,2023-03-27,"Egypt’s privatisation programme: Updates, potential moves",
383,2023-03-27,"Harris visits Ghana's president, promises aid, investments",
384,2023-03-26,Non-oil sectors drive Egypt’s surging FDI inflows: CBE,
385,2023-03-23,Toshiba says it will 'support' $15 bln takeover bid,
386,2023-03-22,Suez Canal Economic Zone partners with Abu Dhabi Ports in multi-million pound projects,
387,2023-03-22,IFC invests $25m in Africa-focused private equity fund to support women entrepreneurs,
388,2023-03-22,"INTERVIEW: World Bank’s IFC eyes Egypt’s IPO companies for minority shares purchase, says VP",
389,2023-03-21,INTERVIEW: Egypt valuable EU partner in combatting irregular migration - Danish PM,
390,2023-03-16,Egypt considers addition of eight state-owned companies to its IPO programme: Finance minister ,
391,2023-03-15,Saudi could invest in Iran 'very quickly': Finance minister,
392,2023-03-12, Egypt positioned to attract foreign investments in priority sectors: Maait,
393,2023-03-11,Egypt keen on strengthening economic ties with China: Sisi to China Int’l Energy Group chairman,
394,2023-03-10,Klopp says new Liverpool forward line a 'wise investment',
395,2023-03-09,"INTERVIEW: Dahab Masr CEO talks local gold market, launch of online gold investment service ",
396,2023-03-09,Egypt to establish partnerships with private sector in pharmaceuticals,
397,2023-03-08,Egypt lowers financial requirements for foreigners to acquire Egyptian citizenship,
398,2023-03-08,Egypt’s foreign debt falls from $155.7 bln to $154.9 bln in 1Q 2022/2023: CBE,
399,2023-03-07,"Africa needs to build 18,000km of railway lines by 2040: Egypt's transport minister",
400,2023-03-04,US official says Biden expected to tighten rules on US investment in China,
401,2023-03-02,INTERVIEW: Financial inclusion on the rise in Egypt through expanding access to non-banking financial activities: PaySky’s CEO,
402,2023-03-01,"All EGX indices up, benchmark increases 0.71 pct",
403,2023-03-01,INTERVIEW: EBRD to invest over $1.4 bln in Egypt in 2023: VP,
404,2023-02-28,Going green,
405,2023-02-28,Qatari businessmen keen to help ‘build new Egypt’ with new investments: QBA,
406,2023-02-28,"Egypt, Qatar eye setting up joint investment trust: Minister",
407,2023-02-27,"Investing in human capital and technology basis of urban development, shift towards smart green cities: Mohieldin",
408,2023-02-27,Qatar to pump more investments in Egypt in upcoming period: Sheikh Tamim to PM,
409,2023-02-26,"Egypt, UAE, Jordan, Bahrain sign $2 billion deals on 9 industrial projects",
410,2023-02-26,Promising opportunities to invest in climate action in Middle East and North Africa: Mohieldin,
411,2023-02-21,"US first lady to visit Namibia, Kenya in push to boost African ties",
412,2023-02-21,EU vows to boost investment in Kenya to strengthen ties,
413,2023-02-21,"Egypt's private sector, Uzbek gov't sign 7 MoUs for partnerships in industrial sectors",
414,2023-02-20,Liverpool owner denies club is for sale,
415,2023-02-19,"PaySky, Dahab Masr team up to offer gold investment through online app",
416,2023-02-16,Egypt PM meets with representatives of Turkish companies for first time in decade,
417,2023-02-13,EIB backs $150 million Middle East venture capital initiative to accelerate digital transformation,
418,2023-02-12,Egypt’s exports to South Korea records 161 percent increase in 2022,
419,2023-02-10,"Sisi, Mitsotakis reaffirm keenness to boost Egypt-Greece investment, energy cooperation",
420,2023-02-08,"Egypt to import wheat from Serbia, Romania",
421,2023-02-07,Egypt’s trade minister touts $994 mln trade exchange in meeting with Swiss ambassador ,
422,2023-02-05,Eight Developments and Gaballah Group cooperate to develop EGP 2.5 bln investments Revolve Mall project in New Cairo,
423,2023-02-03,Could Egypt depend less on 'hot money' as source to bolster its FX reserves in the short term?,
424,2023-02-02,Gov’t keen to facilitate flow of Italian investments into Egypt: FM Shoukry,
425,2023-02-02,"Iraq, Saudi seek to boost economic cooperation",
426,2023-02-01,Egypt-based fintech startup MNT-Halan secures $400 mln in funding,
427,2023-02-01,High interest rates carry multiple risks to future of investment in Egypt: EJB,
428,2023-01-31,Collective decline in Egypt bourse indexes at closing,
429,2023-01-31,"Green energy investment tops $1 trillion, matches fossil fuels",
430,2023-01-30,Saudi to invest $266 bln in 'cleaner' energy: Minister,
431,2023-01-28,"Egypt eyes increasing investments with Azerbaijan, Sisi tells country’s businessmen ",
432,2023-01-26,Dakar 2 Summit: Agribusiness represents Africa’s future,
433,2023-01-26,Egypt's 'Ebda' initiative aims to attract EGP 200 bln to industrial sector: Start chief to MENA,
434,2023-01-25,"Egypt is keen to bolster economic, trade cooperation with India: Sisi to Indian businessmen",
435,2023-01-24,Opportunities in waste,
436,2023-01-24,The challenging road ahead ,
437,2023-01-24,"Egypt's sovereign fund, B Investment ink deals to co-invest over EGP 2 billion in health sector",
438,2023-01-23,Microsoft invests billions in ChatGPT-maker OpenAI,
439,2023-01-23,"US Treasury Secretary in Zambia to discuss Chinese debt, promote US investment",
440,2023-01-16,"Egypt receives $925 mln with improvements in tourism, remittances: CBE",
441,2023-01-12,Defining public-private relationships,
442,2023-01-11,UN decries 'intolerable' loss of 5 million children in 2021,
443,2023-01-05,"Asian markets rise on 2023 outlook hopes, oil prices bounce",
444,2023-01-04,Dubai announces plan to 'double' economy in next decade,
445,2023-01-03,Suez Canal: Maximising resources,
446,2023-01-03,Tunisia unveils economic plan betting heavily on private investment,
447,2023-01-03,Ghabbour Auto okays selling 45% stake of its GB Lease to UAE-based Chimera,
448,2023-01-01,"Egypt’s sovereign fund attracted EGP 37 billion since 2018, 43% of all foreign direct investment",
449,2022-12-29,President Sisi approves State Ownership Policy Document,
